epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,108.206,1.29332,2.31317,1.43406,1.1696,0,1,0.1743,0.18833,0.13823,1,0.1743,0.20578,0.09558,2.67875,7.69964,3.54207,4.31775,0,0.000664898,0.000664898,0.000664898
2,211.608,1.4281,2.44344,1.3047,1.28935,0,1,0.34868,0.52215,0.32865,1,0.34868,0.54948,0.29901,1.95505,2.46781,1.82022,2.40118,0,0.0013052,0.0013052,0.0013052
3,313.242,1.32857,2.28349,1.16319,1.23263,0,0.37359,0.17647,0.13006,0.07934,0.34392,0.11765,0.08283,0.04502,2.65825,7.13344,3.99815,2.6246,0,0.0019191,0.0019191,0.0019191
4,414.155,1.30037,2.27354,1.10934,1.22278,0,1,0.28948,0.40414,0.28485,1,0.28948,0.35739,0.21149,1.67511,4.16421,1.81866,2.18919,0,0.0018812,0.0018812,0.0018812
5,515.238,1.21897,2.0704,1.00677,1.17237,0,0.85559,0.41176,0.56509,0.3753,0.62631,0.58824,0.60428,0.32927,1.5088,2.23504,1.62712,1.96008,0,0.0018416,0.0018416,0.0018416
6,616.339,1.19101,2.07365,0.96719,1.15897,0,0.69416,0.58824,0.65413,0.47741,0.67095,0.76471,0.7247,0.50789,1.41996,1.48118,1.29644,1.84931,0,0.001802,0.001802,0.001802
7,717.394,1.13313,1.96014,0.90331,1.12881,0,0.7062,0.52941,0.61294,0.43637,0.7635,0.64706,0.69426,0.41649,1.40729,1.54967,1.46688,1.81469,0,0.0017624,0.0017624,0.0017624
8,818.326,1.1006,1.92306,0.87056,1.12169,0,0.85809,0.52941,0.69258,0.46728,0.64648,0.70588,0.75792,0.53414,1.25689,1.31373,1.3414,1.74985,0,0.0017228,0.0017228,0.0017228
9,919.317,1.07195,1.85369,0.83938,1.1046,0,0.93753,0.52941,0.62993,0.422,0.93753,0.52941,0.67268,0.46741,1.42305,1.45524,1.50883,1.76808,0,0.0016832,0.0016832,0.0016832
10,1019.94,1.04142,1.8332,0.80221,1.08526,0,0.9853,0.52941,0.68757,0.49873,0.6846,0.70588,0.75953,0.51159,1.22772,1.20043,1.3253,1.78658,0,0.0016436,0.0016436,0.0016436
11,1120.87,1.03875,1.79903,0.77557,1.07241,0,0.82359,0.5504,0.73342,0.49997,0.76623,0.82353,0.84605,0.56081,1.27737,1.00801,1.23484,1.77686,0,0.001604,0.001604,0.001604
12,1221.75,1.01612,1.77372,0.76947,1.07823,0,0.93753,0.52941,0.70139,0.49747,0.69893,0.81956,0.81601,0.63515,1.31644,1.02731,1.18836,1.79731,0,0.0015644,0.0015644,0.0015644
13,1322.47,1.00887,1.78731,0.74725,1.07014,0,0.89767,0.58824,0.7548,0.52246,0.73684,0.76471,0.86633,0.61076,1.24901,0.76071,1.17845,1.71628,0,0.0015248,0.0015248,0.0015248
14,1423.3,1.00011,1.75202,0.74183,1.06769,0,0.83078,0.58824,0.77423,0.50642,0.80888,0.74767,0.85957,0.58645,1.21636,0.82493,1.16738,1.69485,0,0.0014852,0.0014852,0.0014852
